ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	2025-2	2025-3	2025-4	2025-5	2025-6	2025-7
1	-81.375	13.375	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	3	3	3	2	1	1
2	-81.375	13.325	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	3	3	3	2	1	1
3	-81.725	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	2	3	3	2	1	1
4	-81.675	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	2	3	3	1	1	1
5	-81.725	12.525	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	2	3	3	1	1	1
6	-81.725	12.475	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	2	3	3	1	1	1
7	-71.675	12.475	Caribe - Cesar	LA GUAJIRA	URIBIA	3	3	1	1	3	3
8	-71.725	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	3	3	1	1	3	3
9	-71.675	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	3	3	1	1	3	3
10	-71.625	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	1	1	3	3
11	-71.575	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	3	3	-999	-999	-999	3
12	-71.525	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	-999	-999	-999	3
13	-71.475	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	-999	-999	-999	3
14	-71.875	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	3	3	1	3	3	3
15	-71.825	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	3	3	3	3	3	3
16	-71.775	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	1	1	3	3
17	-71.725	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	1	1	3	3
18	-71.675	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	3	3	3	3
19	-71.625	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	-999	-999	-999	3
20	-71.575	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	3	3	-999	3	3	3
21	-71.525	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	-999	3	3	3
22	-71.475	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	-999	3	3	3
23	-71.425	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	-999	3	3	3
24	-71.375	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	3	3	-999	3	3	3
25	-71.325	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	3	3	-999	3	3	3
26	-71.925	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	1	1	3	3
27	-71.875	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	2	1	3	3
28	-71.825	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	-999	3	3	3
29	-71.775	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	-999	3	3	3
30	-71.725	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	-999	-999	-999	3
31	-71.675	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	-999	3	3	3
32	-71.625	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	-999	3	3	3
33	-71.575	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	1	1	3	3
34	-71.525	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	1	1	3	3
35	-71.475	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	3	1	3	1	3	3
36	-71.425	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	3	3	2	1	3	3
37	-71.375	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	3	3	1	1	3	3
38	-71.325	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	3	3	3	3	3	3
