ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	2025-2	2025-3	2025-4	2025-5	2025-6	2025-7
1	-81.375	13.375	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	44.8	49.6	78.3	45.1	40.5	58.5
2	-81.375	13.325	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	48	49.9	76.7	43.3	40	58.7
3	-81.725	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	42.4	57.9	75.4	36.9	50.7	48.2
4	-81.675	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	42.5	50.3	71.2	38.2	48.3	52.2
5	-81.725	12.525	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	42.2	59.7	72.9	39.2	48.8	45.1
6	-81.725	12.475	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	41.2	55.8	70.5	43	47	45.7
7	-71.675	12.475	Caribe - Cesar	LA GUAJIRA	URIBIA	57.7	48.8	45.8	48.9	57.4	49.3
8	-71.725	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	60.1	49.6	45.4	47.5	58.4	45.2
9	-71.675	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	61	41	47.7	48.7	56.5	51
10	-71.625	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	61	55.9	45.6	43.9	61.2	60.5
11	-71.575	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	57.3	56.7	-999	-999	-999	61.9
12	-71.525	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	64.3	64.7	-999	-999	-999	61.1
13	-71.475	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	56.6	65.3	-999	-999	-999	58.9
14	-71.875	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	63.3	48.2	45.7	63.1	55.9	55.9
15	-71.825	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	63	51.5	34.9	56.8	52.2	62.7
16	-71.775	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	62.4	55.6	48.9	43.4	49.6	56.3
17	-71.725	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	62	47.7	51.5	45.9	51.8	52.2
18	-71.675	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	62.1	55.4	59.3	47.8	56.9	63
19	-71.625	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	62.8	39.4	-999	-999	-999	60.6
20	-71.575	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	63.7	50.2	-999	58.1	59.6	64.2
21	-71.525	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	63.5	46.5	-999	46.4	64.3	60.8
22	-71.475	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	59.3	55.3	-999	45.1	68.3	61.6
23	-71.425	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	62.9	64	-999	44.9	69.9	65.5
24	-71.375	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	59.1	52	-999	57.8	67.7	61.9
25	-71.325	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	58.2	45	-999	45.8	66.3	62.3
26	-71.925	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	64.2	52.1	51.8	43	53.5	48.2
27	-71.875	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	62.1	47	46.1	39	50.4	56.9
28	-71.825	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	62.3	55	-999	54.1	51.8	63.2
29	-71.775	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	62.2	63.1	-999	64.1	49.4	61.5
30	-71.725	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	63.2	63.6	-999	-999	-999	61.5
31	-71.675	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	61.5	65.4	-999	46.7	57.1	60.6
32	-71.625	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	60.4	43.7	-999	45.9	56.2	54
33	-71.575	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	61.4	54.9	61.8	46.8	58.7	55.7
34	-71.525	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	59.5	61	43.3	44.8	63	50.3
35	-71.475	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	60.4	43.2	35.6	44.1	64.8	55.2
36	-71.425	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	60.4	56.5	37.7	39.1	65.8	58.6
37	-71.375	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	60.8	53.9	53.9	42.5	65.8	46.5
38	-71.325	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	61.1	61.5	53.2	50.3	64.3	54.6
39	-71.275	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	59.9	68.4	38.9	47.3	65.1	59
40	-71.225	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	56.6	54.4	47.3	59.2	63.1	57.8
41	-71.975	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	61.5	53.3	47.4	46	40.4	55.2
