ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	2025-2	2025-3	2025-4	2025-5	2025-6	2025-7
1	-81.375	13.375	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	25.1	22.9	16.6	36.8	40.5	58.5
2	-81.375	13.325	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	25.4	21.9	16.9	36.6	40	58.7
3	-81.725	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	21.8	22.9	17.8	35.9	50.7	48.2
4	-81.675	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	19.8	22.2	19.3	38.2	48.3	52.2
5	-81.725	12.525	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	22.7	22.3	18.3	39.2	48.8	45.1
6	-81.725	12.475	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	22.1	20.1	20.3	43	47	45.7
7	-71.675	12.475	Caribe - Cesar	LA GUAJIRA	URIBIA	24.4	32.6	45.8	48.9	28.7	25.4
8	-71.725	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	29.3	39.9	45.4	47.5	27.6	24
9	-71.675	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	24.2	34.9	47.7	48.7	29.8	27.1
10	-71.625	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	23.8	55.9	45.6	43.9	29.5	31.3
11	-71.575	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	22.7	43.3	-999	-999	-999	30.6
12	-71.525	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	23.8	64.7	-999	-999	-999	30.3
13	-71.475	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	22.2	65.3	-999	-999	-999	32.4
14	-71.875	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	30.3	43.1	45.7	27.9	30.1	28.6
15	-71.825	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	30.9	42.2	34.7	33.8	29.6	33.2
16	-71.775	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	27.3	55.6	48.9	43.4	31.2	29.7
17	-71.725	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	27.9	47.7	51.5	45.9	31.2	30.1
18	-71.675	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	27.4	55.4	40.7	37.9	29.4	32.8
19	-71.625	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	25.7	39.4	-999	-999	-999	32
20	-71.575	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	23.4	49.8	-999	41.9	31.6	31.5
21	-71.525	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	22.9	46.5	-999	33.5	25.9	30.7
22	-71.475	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	22.7	55.3	-999	35.1	25.2	30.1
