ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	2025-2	2025-3	2025-4	2025-5	2025-6	2025-7
1	-81.375	13.375	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	30	27.5	5.2	45.1	33.1	17.5
2	-81.375	13.325	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	26.6	28.2	6.4	43.3	32.9	18.3
3	-81.725	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	42.4	19.2	6.8	36.9	11.9	15.6
4	-81.675	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	42.5	27.5	9.5	34.4	16.3	17.3
5	-81.725	12.525	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	42.2	18	8.8	30.5	13.3	20.5
6	-81.725	12.475	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	41.2	24.1	9.2	26	16.1	23.8
7	-71.675	12.475	Caribe - Cesar	LA GUAJIRA	URIBIA	17.8	18.7	29.2	28	13.9	25.3
8	-71.725	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	10.6	10.5	27.9	24.8	14	30.9
9	-71.675	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	14.8	24.1	23	27.6	13.7	21.9
10	-71.625	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	15.1	0	20.9	35.7	9.3	8.2
11	-71.575	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	20	0	-999	-999	-999	7.5
12	-71.525	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	11.9	0	-999	-999	-999	8.6
13	-71.475	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	21.2	0	-999	-999	-999	8.7
14	-71.875	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	6.4	8.7	30.4	9	13.9	15.5
15	-71.825	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	6.1	6.3	30.5	9.4	18.2	4.1
16	-71.775	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	10.4	0	21.7	28	19.2	14.1
17	-71.725	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	10	12.3	14.8	24.7	17	17.7
18	-71.675	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	10.5	10	0	14.3	13.7	4.2
19	-71.625	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	11.5	33.2	-999	-999	-999	7.4
20	-71.575	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	13	0	-999	0	8.7	4.3
21	-71.525	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	13.6	21.7	-999	20.1	9.8	8.5
22	-71.475	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	18	0	-999	19.8	6.5	8.4
23	-71.425	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	14.6	0	-999	21.1	5.7	4.6
24	-71.375	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	8.5	0	-999	7.6	5.9	5
25	-71.325	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	8.6	20.7	-999	21.3	5.2	4.7
26	-71.925	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	11.5	0	19.2	21.1	13.2	18
27	-71.875	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	6.8	9.9	46.1	27.3	17.4	12.3
28	-71.825	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	9.7	9.4	-999	14.4	15.5	5.7
29	-71.775	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	6.8	0	-999	0	18.2	6.5
30	-71.725	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	11.1	0	-999	-999	-999	6.5
31	-71.675	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	0	0	-999	11.2	14.4	4.3
32	-71.625	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	10.3	29.4	-999	10.8	13.7	13.6
33	-71.575	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	10.4	0	20.4	32.8	11.9	12.8
34	-71.525	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	12.2	0	30.6	32.6	7.3	23.6
35	-71.475	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	13.3	16.1	30	31.7	5.4	15.4
36	-71.425	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	14.1	0	37.7	27.9	6.5	15
37	-71.375	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	9.2	15.2	0	30.6	5.2	26.7
38	-71.325	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	7.6	10.7	0	13.5	8.4	16.9
39	-71.275	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	7.6	3.1	29.2	12.1	6.7	11.6
40	-71.225	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	15.3	18.6	19	6.6	8.1	9.6
41	-71.975	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	11	53.3	20.7	22.4	24.5	17
42	-71.925	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	9.1	0	0	23	17.4	6.5
43	-71.875	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	10.4	8.7	12.3	24.1	15.5	32.3
44	-71.825	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	7.6	6.9	16.1	21.7	14.6	22.7
45	-71.775	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	13.1	14.2	-999	-999	-999	0
46	-71.725	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	7.4
47	-71.675	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	27.1	0	38.7	28.6	12.6	11.1
48	-71.625	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	13.9	0	22	32	14	17.8
49	-71.575	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	10.2	11.2	23.9	31.9	11.5	22.7
50	-71.525	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	12.6	17.1	27.6	30.2	6.6	32
51	-71.475	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	15.1	7.8	31.9	32.5	5.8	42.6
52	-71.425	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	14.5	0	28.9	30.5	5.8	42.5
53	-71.375	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	13.1	9.9	30.9	32	7.5	39.9
54	-71.325	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	8.8	11.1	19	33.5	7.8	34.8
55	-71.275	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	9.4	2.8	20.1	30.3	9.9	32.2
56	-71.225	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	15.6	14.6	19.8	8.2	9.7	29.3
57	-72.175	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	7.3	5.4	15.5	14.3	31.3	8
58	-72.125	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	6.9	13.1	0	15.6	15.4	16
59	-72.075	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	5.8	17	0	19.8	18.5	24.4
60	-72.025	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	18.7
61	-71.975	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	0	-999	22.5	20.6	19.9	9.4
62	-71.875	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	12.5	26.8	20.9	21.6	25.2	38
63	-71.825	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	4.4	0	20.4	23.5	6.5	0
64	-71.775	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	11.2	0	28.1	28.3	0	6.9
65	-71.725	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	7
66	-71.675	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	0	31.8	29.7	8.9	5.9
67	-71.625	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	0	14.2	30.1	12.7	46.3
68	-71.575	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	36.1	12.1	19.3	30.2	12.3	41
69	-71.525	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	13.2	16.9	20.3	27.1	9.4	32.8
