ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	2025-2	2025-3	2025-4	2025-5	2025-6	2025-7
1	-81.375	13.375	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	44.8	49.6	78.3	18.1	26.4	24
2	-81.375	13.325	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	48	49.9	76.7	20	27.1	23
3	-81.725	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	35.8	57.9	75.4	27.2	37.4	36.2
4	-81.675	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	37.7	50.3	71.2	27.4	35.4	30.5
5	-81.725	12.525	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	35.1	59.7	72.9	30.4	37.9	34.5
6	-81.725	12.475	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	36.7	55.8	70.5	31.1	36.8	30.5
7	-71.675	12.475	Caribe - Cesar	LA GUAJIRA	URIBIA	57.7	48.8	25	23.1	57.4	49.3
8	-71.725	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	60.1	49.6	26.7	27.8	58.4	45.2
9	-71.675	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	61	41	29.3	23.7	56.5	51
10	-71.625	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	61	44.1	33.4	20.4	61.2	60.5
11	-71.575	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	57.3	56.7	-999	-999	-999	61.9
12	-71.525	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	64.3	35.3	-999	-999	-999	61.1
13	-71.475	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	56.6	34.7	-999	-999	-999	58.9
14	-71.875	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	63.3	48.2	23.9	63.1	55.9	55.9
15	-71.825	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	63	51.5	34.9	56.8	52.2	62.7
16	-71.775	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	62.4	44.4	29.4	28.6	49.6	56.3
17	-71.725	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	62	39.9	33.7	29.4	51.8	52.2
18	-71.675	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	62.1	34.6	59.3	47.8	56.9	63
19	-71.625	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	62.8	27.5	-999	-999	-999	60.6
20	-71.575	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	63.7	50.2	-999	58.1	59.6	64.2
21	-71.525	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	63.5	31.8	-999	46.4	64.3	60.8
