ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	2025-2	2025-3	2025-4	2025-5	2025-6	2025-7
1	-81.375	13.375	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	30	17.2	19.9	101.3	140.7	83.9
2	-81.375	13.325	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	29.8	17.1	19.7	102.4	140.9	84
3	-81.725	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	34.8	16	23.1	115.1	190.1	157.3
4	-81.675	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	35.8	16.2	22.7	113.7	189.8	145.2
5	-81.725	12.525	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	35	16	23	116.6	193.3	161.3
6	-81.725	12.475	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	36.6	19.7	26.9	133.3	207.1	174.4
7	-71.675	12.475	Caribe - Cesar	LA GUAJIRA	URIBIA	14	4.6	4.7	7.2	17.6	8.9
8	-71.725	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	14.2	3.6	5.4	10.8	24.1	11.1
9	-71.675	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	12.7	3.4	3.6	6.1	15	5
10	-71.625	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	5.3	0.3	2.5	4.2	8.9	0.9
11	-71.575	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	3.8	0.2	-999	-999	-999	0.9
12	-71.525	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	2.7	0.2	-999	-999	-999	0.8
13	-71.475	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	4.2	0.3	-999	-999	-999	0.9
14	-71.875	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	16.7	3.4	1.7	0.6	9.1	0.9
15	-71.825	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	14.1	2.7	0.2	0.2	3.6	0.8
16	-71.775	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	8.2	0.4	1.6	6.4	14.7	1.1
17	-71.725	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	11.3	1.6	1.1	5.5	16.3	2.1
18	-71.675	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	9.3	0.7	-999	0.3	4.9	0.8
19	-71.625	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	4	0.2	-999	-999	-999	0.8
20	-71.575	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	3.5	0.2	-999	-999	0.5	0.8
21	-71.525	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	3.8	0.2	-999	0.1	1.7	0.8
22	-71.475	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	4.6	0.3	-999	0.1	1.8	0.8
23	-71.425	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	5.8	0.4	-999	0.1	2.9	0.8
24	-71.375	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	6.3	0.4	-999	0.3	3.6	0.7
25	-71.325	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	6.7	0.5	-999	0.2	2.5	0.7
26	-71.925	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	13.6	0.9	3.7	12.1	21.6	4.5
27	-71.875	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	10	0.5	-999	1.7	9.5	0.8
28	-71.825	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	8.6	0.4	-999	0.1	2.6	0.7
29	-71.775	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	5	0.2	-999	-999	0.9	0.7
30	-71.725	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	1.1	-999	-999	-999	-999	0.7
31	-71.675	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	1.1	-999	-999	0.2	3.4	0.7
32	-71.625	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	3.9	0.2	-999	0.2	5.6	0.8
33	-71.575	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	4.8	0.3	0.2	3.6	8.7	0.9
34	-71.525	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	6.4	0.4	0.1	3.3	8.8	0.9
35	-71.475	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	7	0.5	0.8	2.9	6.5	0.8
36	-71.425	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	6.8	0.4	1.5	1.4	9.9	0.9
37	-71.375	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	7.5	0.9	0.1	2.2	11.1	1.6
38	-71.325	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	10.5	3.4	0.1	0.5	8	0.8
39	-71.275	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	11.2	3.6	0.2	0.3	6.4	0.7
40	-71.225	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	8.9	2	3.8	0.3	5	0.7
41	-71.975	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	1.1	0.1	0.2	5.6	1.7	0.5
42	-71.925	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	1.1	0.1	0.1	1.7	0.4	0.6
43	-71.875	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	10.9	0.4	1.9	16.7	18.3	1.1
44	-71.825	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	11.3	0.6	1.2	8.4	9.3	0.7
45	-71.775	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	6.6	0.3	-999	-999	-999	0.6
46	-71.725	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	0.6
47	-71.675	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	0.5	-999	0.1	2.5	4.1	0.6
48	-71.625	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	3.7	0.3	4.2	16	11.5	1
49	-71.575	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	4.6	0.4	7.5	19.8	19.8	2.6
50	-71.525	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	8.1	1.6	6.2	17.7	19.3	3.5
51	-71.475	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	9.8	1.8	5.5	12.4	16.2	1.6
52	-71.425	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	9.7	1.6	5	14.7	15.9	3.9
53	-71.375	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	8.2	1.2	6.7	22.3	21	10.4
54	-71.325	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	14.5	6.3	9.8	16.1	24.2	16.5
55	-71.275	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	18.1	8.4	5.7	6.4	17	11.5
56	-71.225	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	12.1	4.5	1.1	0.4	9.4	3.9
57	-72.175	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	4.2	11	12.9	41.9	42.7	12.2
58	-72.125	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	18.4	2.6	0.1	0.9	5.2	0.7
59	-72.075	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	15	1.2	-999	0.7	0.7	0.7
60	-72.025	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	0.5
61	-71.975	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	0.5	12.1	3	0.5
62	-71.875	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	4.5	0.3	3.1	23.5	13.6	1
63	-71.825	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	3.3	0.2	0.4	11.7	0.8	0.7
64	-71.775	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	2.2	0.1	0.1	2.4	0.1	0.6
65	-71.725	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	0.6
66	-71.675	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	0.7	14.3	1.7	0.6
67	-71.625	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	0.5	6.6	25.6	12	1
68	-71.575	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	0.3	0.7	9.5	23.1	19.2	1.5
69	-71.525	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	3.5	0.5	8.9	20.7	19.6	2.7
70	-71.475	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	9.1	2.2	7.3	14.4	19.1	3.6
71	-71.425	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	9.9	2.3	3.6	9.5	15	2.5
72	-71.375	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	8.7	2.1	7.9	15	18.6	7.3
73	-71.325	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	5	2.1	15.6	27.4	28.6	20.7
74	-71.275	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	17.7	8.4	12.1	19.3	24.2	20.7
75	-71.225	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	21	11.4	7	9.3	17.2	13
76	-71.175	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	19.4	10.4	5.2	0.7	12.7	7.3
77	-72.175	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	4.5	11	13.1	45.4	44.8	12.5
78	-72.125	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	18.1	2.6	0.1	2.5	8.5	0.7
79	-72.075	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	15.5	1.3	0.2	4.1	8.1	0.6
80	-72.025	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	0.1	2.1	0.4
81	-71.975	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0.1	-999	0.3	8.6	3.4	0.4
82	-71.925	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0.3	-999	0.3	7.1	0.5	0.5
83	-71.875	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0.9	-999	0.2	4.1	0.2	0.4
84	-71.825	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	1.3	-999	-999	-999	-999	0.5
85	-71.775	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	1.5	0.1	-999	-999	-999	0.5
86	-71.725	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0.9	0.1	-999	1.6	0.1	0.5
87	-71.675	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	0.2	6.4	0.3	0.5
88	-71.625	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	1.1	14.5	5.1	0.6
89	-71.575	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	0.4	5.7	16.7	13.1	0.9
90	-71.525	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	0.7	11	25	22	2.4
91	-71.475	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	5.7	1.6	10	20.3	26	6.9
92	-71.425	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	8.5	2.5	9.9	16.2	21.8	5.9
93	-71.375	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	12.1	3.7	7	9	16.2	2.1
94	-71.325	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	6.2	1.4	11.4	15	16.8	9.3
95	-71.275	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	7.4	3.2	14.9	21.9	24.4	19.8
96	-71.225	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	19.4	11.5	12	18.8	24.4	20.7
97	-71.175	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	20.9	11.5	3.5	2.2	14.3	11.2
98	-72.125	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	17.5	2.2	0.8	25.8	29.1	1.5
99	-72.075	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	13.7	0.7	0.8	17.5	8.4	0.6
100	-72.025	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	0.1	-999	0.5	11	1.3	0.4
101	-71.975	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	0.1	-999	0.6	16.8	3.7	0.5
102	-71.925	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	0.1	-999	0.3	8.2	0.5	0.5
103	-71.875	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	0.2	7.8	0.4	0.4
104	-71.825	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	0.1	4.4	0.2	0.4
105	-71.775	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	0.4
106	-71.725	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	0.8	-999	-999	-999	-999	0.5
107	-71.675	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	0.6	-999	0.1	4.5	0.2	0.5
108	-71.625	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	0.5
109	-71.575	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	0.1	3.2	5.1	0.6
110	-71.525	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	0.3	4.5	9.9	9.7	0.8
111	-71.475	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	1.1	0.4	7	11.9	16.1	1.1
112	-71.425	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	3.1	0.4	6	15.9	18.4	3.3
113	-71.375	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	8.5	2.2	4.8	9.1	13	0.9
114	-71.325	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	4.4	0.2	1.2	0.4	5.8	0.6
115	-71.275	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	3.2	0.2	3.5	0.6	8.8	0.8
116	-71.225	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	8.7	5.4	7.8	7.1	17.3	11.4
117	-71.175	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	15.6	7.8	5	3.3	16.1	10.3
118	-71.125	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	13.3	7.4	1.1	0.2	4.4	1.7
119	-72.175	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	4.4	11.4	15	51	44.5	13.1
120	-72.125	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	8.6	0.4	0.6	15.8	22.3	1.2
121	-72.075	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	0.1	-999	0.6	13.6	7.7	0.6
122	-72.025	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	0.1	-999	0.4	7.6	4.7	0.5
123	-71.975	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	0.1	-999	0.7	18.3	6.5	0.6
124	-71.925	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	0.6	15.3	2.3	0.5
125	-71.875	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	0.3	9.7	0.9	0.5
126	-71.825	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	0.1	3.7	0.5	0.5
127	-71.775	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	0.5
128	-71.725	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	0.2	-999	-999	-999	-999	0.5
129	-71.675	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	0.5	-999	-999	1.5	0.1	0.6
130	-71.625	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	0.5
